ph,Turbidity,Temperature,Water Type
3.716080075,4.500656275,6.98,Impure
8.099124189,3.05593375,4.99,Impure
8.316765884,4.628770537,1.86,Impure
9.092223456,4.075075425,7.65,Impure
5.584086638,2.559708228,3.68,Impure
10.22386216,2.672988737,1.38,Impure
8.635848719,4.401424715,0.63,Impure
9.908066595,3.595017181,7.98,Impure
11.18028447,4.370561937,9.64,Impure
7.360640106,3.662291783,3.48,Impure
7.974521649,4.011718108,8.67,Impure
7.119824384,3.445756223,1.86,Impure
7.308028296,4.413974183,8.61,Impure
7.496232208,4.777382337,1.6,Impure
6.347271761,4.376348291,2.97,Impure
7.0517858,4.268428858,3.52,Impure
9.181560007,4.503660796,5.83,Impure
8.975464348,2.43608559,9.63,Impure
7.371050302,2.560299148,5.45,Impure
7.015631164,4.133422644,2.55,Impure
6.660212026,3.749701241,7.5,Impure
5.281343856,5.459250956,8.91,Impure
3.902475686,4.528522696,5.71,Impure
5.400301781,4.82478639,0.91,Impure
6.514415093,5.200885077,8.44,Impure
3.445061864,4.184396969,6.78,Impure
5.313255223,4.004871128,9.67,Impure
6.247351902,3.991564248,1.37,Impure
6.714400241,6.038184953,7.92,Impure
7.181448581,5.088859989,4.59,Impure
9.825489908,2.857472426,7.64,Impure
10.43329098,5.057310517,9.65,Impure
7.414148196,3.160624468,7.34,Impure
6.26498263,5.029166724,2.65,Impure
5.115817064,3.902088768,9.69,Impure
3.641629777,3.464353035,0.84,Impure
5.618064406,2.896546941,9.8,Impure
7.442625968,2.907563915,8.56,Impure
9.267187531,4.324004646,1.32,Impure
7.299564005,3.510004045,2.56,Impure
5.331940479,4.434820258,9.87,Impure
7.145771545,5.182590704,0.72,Impure
9.920691059,4.69070723,7.95,Impure
4.758439425,4.542801462,1.42,Impure
5.702925977,4.137739016,1.94,Impure
6.953864226,3.195710328,7.49,Impure
10.68296643,3.999775382,5.74,Impure
9.720111912,4.405586,3.57,Impure
8.757257397,3.626135442,0.49,Impure
8.283444648,3.048057223,6.63,Impure
7.809631898,2.447444464,6.51,Impure
6.652488091,3.742090426,2.38,Impure
9.147197055,3.794531591,1.5,Impure
10.56074464,3.96468635,4.44,Impure
7.484254838,4.781188177,7.49,Impure
8.520806573,3.94060453,6.57,Impure
4.999413811,4.460683932,8.71,Impure
5.0740649,4.405385706,0.61,Impure
5.148715989,4.08990769,4.36,Impure
3.906078355,3.902879712,5.96,Impure
6.391353624,3.923749169,4.52,Impure
7.541722818,3.855602212,1.45,Impure
8.692092013,4.477960248,3.58,Impure
8.085759801,4.068688909,5.78,Impure
6.203977702,5.215689206,0.96,Impure
5.058108869,5.106655774,7.34,Impure
6.134558873,4.620793452,8.44,Impure
7.211008876,3.439740042,5.43,Impure
7.261550522,3.636364183,1.67,Impure
7.160467231,3.884891044,7.99,Impure
5.704764776,4.157533407,1.76,Impure
6.217273135,5.325833446,9.34,Impure
8.67993497,3.873470298,4.23,Impure
7.788628556,4.655916599,2.61,Impure
6.897322141,5.02278363,7.31,Impure
3.514545529,3.762615331,1.46,Impure
3.722500486,3.662837732,3.9,Impure
6.455004797,2.293431406,2.94,Impure
7.316804754,3.50837265,7.86,Impure
1.844538366,5.013463351,6.24,Impure
5.519125656,3.75899586,6.6,Impure
7.408985467,3.772420928,7.96,Impure
5.976769618,2.994671096,3.95,Impure
6.395359132,4.191217515,6.31,Impure
6.20964226,3.612519615,7.59,Impure
6.762832522,4.916579161,6.98,Impure
9.918717064,3.385508444,8.92,Impure
10.15544017,5.00246726,7.68,Impure
8.721726711,2.555026904,5.35,Impure
8.142471962,4.383921814,4.69,Impure
7.563217212,3.355164642,9.67,Impure
6.099646705,3.172789769,4.62,Impure
9.02678772,2.019042018,8.65,Impure
6.953371603,3.651865808,2.78,Impure
6.140877557,5.359460295,5.77,Impure
7.077874007,4.764508265,1.47,Impure
5.488314309,5.066786272,4.66,Impure
7.205559175,3.710053126,5.39,Impure
9.177869866,3.108769988,5.59,Impure
4.270716195,3.763905903,6.59,Impure
7.348844512,4.880875156,7.62,Impure
8.52616987,5.083014142,9.47,Impure
5.569102892,3.995973787,9.43,Impure
2.612035915,4.76520537,5.96,Impure
8.490571562,3.875556805,9.69,Impure
8.674486547,3.398592587,3.84,Impure
8.858401531,5.525726338,7.34,Impure
6.098156521,3.977362364,0.23,Impure
8.419970682,3.962478314,3.54,Impure
9.286155021,5.23998187,9.86,Impure
7.875895135,4.238589203,8,Impure
7.725332908,3.724836704,6.56,Impure
